Date	SLLT	STTB	TSLD	TSLX	TSLN
14/01/1991	5	15	13.51992539	14.60929342	12.99901341
14/01/1991	15	30	14.54603306	14.85698506	14.25428291
14/01/1991	30	45	13.5236879	13.52999368	13.51281477
14/01/1991	45	60	12.51164805	12.59089974	12.42563466
14/01/1991	60	90	12.18001602	12.23924753	12.12045644
14/01/1991	90	120	13.18379426	13.20053292	13.16776339
14/01/1991	120	150	14.57904318	14.57936627	14.57893102
14/01/1991	150	180	15.98634139	15.98967557	15.98302491
14/01/1991	180	210	22.40750267	22.41707667	22.39793911
15/01/1991	0	0	15.53606313	5.01145226	22.91959207
15/01/1991	0	5	13.88386913	18.06680109	9.360854177
15/01/1991	5	15	13.2484114	14.10464526	12.76484991
15/01/1991	15	30	14.00856826	14.24427641	13.86320822
15/01/1991	30	45	13.47452745	13.51169497	13.43181583
15/01/1991	45	60	12.65776394	12.71455548	12.59394111
15/01/1991	60	90	12.29960455	12.35651483	12.24174611
15/01/1991	90	120	13.21937993	13.23805851	13.20127563
15/01/1991	120	150	14.58041074	14.58175071	14.57939479
15/01/1991	150	180	15.9796133	15.98288467	15.97636658
15/01/1991	180	210	22.38799151	22.39753263	22.37846083
16/01/1991	0	0	17.23607758	11.83326434	24.05063867
16/01/1991	0	5	16.37443877	19.36031516	13.45285026
16/01/1991	5	15	14.43532888	15.17841537	14.06683166
16/01/1991	15	30	13.86326481	13.91911236	13.84573241
16/01/1991	30	45	13.40057516	13.43015252	13.3808591
16/01/1991	45	60	12.76115147	12.80158163	12.71666885
16/01/1991	60	90	12.41330355	12.46640255	12.35888784
16/01/1991	90	120	13.25861135	13.27876682	13.23887739
16/01/1991	120	150	14.58384672	14.58618583	14.58182244
16/01/1991	150	180	15.97304257	15.97622962	15.96988684
16/01/1991	180	210	22.36854752	22.37805575	22.35904974
17/01/1991	0	0	12.74703613	6.764831545	22.40045822
17/01/1991	0	5	14.0678237	17.52101381	10.66136298
17/01/1991	5	15	14.6697528	15.18603529	14.32531707
17/01/1991	15	30	13.969672	13.98703635	13.92438055
17/01/1991	30	45	13.3835525	13.39018159	13.38000208
17/01/1991	45	60	12.83835658	12.87225243	12.80315329
17/01/1991	60	90	12.51884908	12.56779344	12.46860126
17/01/1991	90	120	13.30053107	13.32169927	13.27964159
17/01/1991	120	150	14.58929316	14.59258325	14.58629954
17/01/1991	150	180	15.96667171	15.96975405	15.96362688
17/01/1991	180	210	22.34917077	22.35864606	22.33970597
18/01/1991	0	0	12.88705698	6.133951677	22.48718483
18/01/1991	0	5	13.02336707	17.47153135	9.054623338
18/01/1991	5	15	13.81078845	14.45861029	13.34260888
18/01/1991	15	30	13.90077324	13.98699063	13.82831516
18/01/1991	30	45	13.39492194	13.39685069	13.39059545
18/01/1991	45	60	12.90515324	12.93530368	12.87364196
18/01/1991	60	90	12.61613803	12.66128412	12.56981885
18/01/1991	90	120	13.34423792	13.36602897	13.32261095
18/01/1991	120	150	14.59663456	14.60080439	14.59273651
18/01/1991	150	180	15.96054011	15.96349907	15.95762416
18/01/1991	180	210	22.32986148	22.3393037	22.32042981
19/01/1991	0	0	15.24339004	8.631061109	19.80053467
19/01/1991	0	5	14.20607259	16.71432009	11.69261086
19/01/1991	5	15	13.80660195	14.19532259	13.56983644
19/01/1991	15	30	13.77468518	13.82703573	13.74225638
19/01/1991	30	45	13.3879537	13.39328018	13.38177645
19/01/1991	45	60	12.96326618	12.98858784	12.93650778
19/01/1991	60	90	12.70586994	12.74747374	12.66315304
19/01/1991	90	120	13.38899404	13.41109782	13.36696226
19/01/1991	120	150	14.60571491	14.61067949	14.60099392
19/01/1991	150	180	15.95468296	15.95750208	15.95191162
19/01/1991	180	210	22.31061998	22.32002895	22.30122163
20/01/1991	0	0	14.12744605	7.546312458	24.29564609
20/01/1991	0	5	14.56875688	18.22573208	11.01215268
20/01/1991	5	15	14.09513963	14.40177968	13.76203152
20/01/1991	15	30	13.74485411	13.75777482	13.73287995
20/01/1991	30	45	13.37973948	13.3815995	13.37879819
20/01/1991	45	60	13.01218841	13.03396895	12.98959117
20/01/1991	60	90	12.78848923	12.82674823	12.74919408
20/01/1991	90	120	13.43420666	13.45636925	13.41204044
20/01/1991	120	150	14.61635509	14.62202238	14.61090153
20/01/1991	150	180	15.9491307	15.9517959	15.94651725
20/01/1991	180	210	22.29144671	22.30082219	22.28208191
21/01/1991	0	0	12.17048772	5.683725403	22.17548716
21/01/1991	0	5	12.87534142	16.89213456	9.181213796
21/01/1991	5	15	13.77977431	14.34502826	13.40357799
21/01/1991	15	30	13.72935315	13.7651062	13.69345705
21/01/1991	30	45	13.38251297	13.38348165	13.37967421
21/01/1991	45	60	13.05513072	13.07489339	13.03485038
21/01/1991	60	90	12.86448661	12.89972161	12.82833001
21/01/1991	90	120	13.47939298	13.50141233	13.45731114
21/01/1991	120	150	14.628365	14.63464061	14.62227295
21/01/1991	150	180	15.94390873	15.94640842	15.94146398
21/01/1991	180	210	22.27234216	22.2816839	22.2630112
22/01/1991	0	0	8.482453082	2.743806403	18.01515529
22/01/1991	0	5	10.1357591	13.89734288	6.750559082
22/01/1991	5	15	12.79749143	13.75176999	12.35340434
22/01/1991	15	30	13.57677735	13.69239423	13.43362584
22/01/1991	30	45	13.37714146	13.38314169	13.36334438
22/01/1991	45	60	13.0936654	13.11054101	13.07569273
22/01/1991	60	90	12.93452995	12.96703382	12.90117971
22/01/1991	90	120	13.52417568	13.54589878	13.50234566
22/01/1991	120	150	14.64155256	14.6483437	14.63491571
22/01/1991	150	180	15.93903743	15.94136247	15.93676976
22/01/1991	180	210	22.25330693	22.26261463	22.2440101
23/01/1991	0	0	8.998226274	1.665955633	19.03834621
23/01/1991	0	5	9.521304529	14.34355659	5.202776711
23/01/1991	5	15	11.53701233	12.29972677	11.05091926
23/01/1991	15	30	13.19918968	13.42680946	12.99636283
23/01/1991	30	45	13.32981024	13.36245657	13.28674423
23/01/1991	45	60	13.12417569	13.13475404	13.11118417
23/01/1991	60	90	12.99904642	13.02882679	12.96837807
23/01/1991	90	120	13.56826586	13.58956891	13.54681761
23/01/1991	120	150	14.65573096	14.66294898	14.64863943
23/01/1991	150	180	15.93453232	15.93667588	15.93244782
23/01/1991	180	210	22.23434164	22.24361499	22.22507927
24/01/1991	0	0	13.04800783	4.08593118	19.86208801
24/01/1991	0	5	11.66942544	15.31578644	7.951404561
24/01/1991	5	15	11.5209776	12.19719744	11.14522517
24/01/1991	15	30	12.82982943	12.9898949	12.7242691
24/01/1991	30	45	13.23162445	13.28467494	13.17634985
24/01/1991	45	60	13.13985369	13.14202228	13.13507719
24/01/1991	60	90	13.05779044	13.08451745	13.03005173
24/01/1991	90	120	13.61141272	13.6321703	13.59046814
24/01/1991	120	150	14.67072227	14.67828288	14.66326163
24/01/1991	150	180	15.93040435	15.93236181	15.92850702
24/01/1991	180	210	22.21544697	22.22468564	22.2062194
25/01/1991	0	0	10.78060811	9.053119198	12.7353961
25/01/1991	0	5	11.61241429	13.20321741	10.86564093
25/01/1991	5	15	12.14713459	12.25459697	12.08471952
25/01/1991	15	30	12.70083547	12.72348728	12.67158384
25/01/1991	30	45	13.12801097	13.17415686	13.0858468
25/01/1991	45	60	13.13967088	13.14197211	13.13598113
25/01/1991	60	90	13.11003895	13.13342589	13.08560489
25/01/1991	90	120	13.65335366	13.67342995	13.63304458
25/01/1991	120	150	14.68635658	14.69417846	14.67860891
